index	center_x	center_y	master	display_size
01	81	57	top_1_master1_120deg.png	68x68
02	162	57	top_2_master2_120deg.png	68x68
03	242	57	top_3_master3_120deg.png	68x68
04	322	57	top_4_master4_180deg.png	68x68
05	402	57	top_5_master5_180deg.png	68x68
06	482	57	bottom_1_master1_240deg.png	68x68
07	562	57	bottom_2_master2_240deg.png	68x68
08	642	57	bottom_3_master3_0deg.png	68x68
09	722	57	bottom_4_master4_0deg.png	68x68
10	162	212	bottom_5_master5_0deg.png	68x68
11	642	212	top_1_master1_120deg.png	68x68
12	81	289	top_2_master2_120deg.png	68x68
13	242	289	top_3_master3_120deg.png	68x68
14	402	289	top_4_master4_180deg.png	68x68
15	562	289	top_5_master5_180deg.png	68x68
16	722	289	bottom_1_master1_240deg.png	68x68
17	81	522	bottom_2_master2_240deg.png	68x68
18	242	522	bottom_3_master3_0deg.png	68x68
19	402	522	bottom_4_master4_0deg.png	68x68
20	562	522	bottom_5_master5_0deg.png	68x68
21	722	522	top_1_master1_120deg.png	68x68
22	162	599	top_2_master2_120deg.png	68x68
23	642	599	top_3_master3_120deg.png	68x68
24	81	755	top_4_master4_180deg.png	68x68
25	162	755	top_5_master5_180deg.png	68x68
26	242	755	bottom_1_master1_240deg.png	68x68
27	322	755	bottom_2_master2_240deg.png	68x68
28	402	755	bottom_3_master3_0deg.png	68x68
29	482	755	bottom_4_master4_0deg.png	68x68
30	562	755	bottom_5_master5_0deg.png	68x68
31	642	755	top_1_master1_120deg.png	68x68
32	722	755	top_2_master2_120deg.png	68x68
